Name,Diet,Length,Taxonomy,Species
Corythosaurus,Herbivorous,10.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Casuarius
Cryolophosaurus,Carnivorous,8.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Elliotti
Dacentrurus,Herbivorous,6.0M,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae,Armatus
Daspletosaurus,Carnivorous,9.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Torosus
Datousaurus,Herbivorous,15.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda,Bashanensis
Deinocheirus,Omnivorous,10.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Mirificus
Deinonychus,Carnivorous,3.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Antirrhopus
Deltadromeus,Carnivorous,8.1M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Agilis
Dicraeosaurus,Herbivorous,20.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Hansemanni
Dilophosaurus,Carnivorous,6.0M,Dinosauria Saurischia Theropoda Neotheropoda Dilophosauridae,Wetherilli
Diplodocus,Herbivorous,26.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Longus
Dromaeosaurus,Carnivorous,1.8M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Albertensis
Dromiceiomimus,Omnivorous,3.5M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Brevitertius
Dryosaurus,Herbivorous,4.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,Altus
Dryptosaurus,Carnivorous,6.4M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Aquilunguis
Edmontonia,Herbivorous,4.0M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Longiceps
Edmontosaurus,Herbivorous,13.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Regalis
Einiosaurus,Herbivorous,6.0M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Procurvicornis
Elaphrosaurus,Carnivorous,6.2M,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Bambergi
Emausaurus,Herbivorous,2.0M,Dinosauria Ornithischia Genasauria Thyreophora,Ernsti
Eoraptor,Carnivorous,1.0M,Dinosauria Saurischia Theropoda,Lunensis
Eotyrannus,Carnivorous,5.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Lengi
Erketu,Herbivorous,15.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Ellisoni
